component,count
1,8835
186,80
833,44
669,20
70,18
5184,15
416,13
437,12
1167,11
466,10
1065,10
1332,10
543,10
1763,9
1131,9
5396,9
4416,9
1766,9
2034,9
6910,9
610,8
2298,8
3545,8
7986,8
1300,8
1607,7
3748,7
4935,7
1550,7
227,7
3979,7
1402,7
8598,7
4959,7
3420,6
27,6
4392,6
2285,6
12374,6
3792,6
1715,6
1502,6
8716,6
1393,6
2320,6
1027,6
750,6
217,6
2117,6
3214,6
1974,6
160,6
1374,5
9758,5
2173,5
4095,5
4798,5
4588,5
758,5
333,5
2143,5
5057,5
470,5
4406,5
9773,5
1995,5
1125,5
2470,5
2666,5
8529,5
2480,5
5375,5
1269,5
3085,5
5131,5
8308,5
13105,5
7257,5
3788,5
1835,5
3987,5
3504,5
5091,4
1145,4
6784,4
4173,4
5271,4
132,4
15838,4
1257,4
4299,4
11081,4
5989,4
11529,4
10232,4
2514,4
3948,4
1611,4
115,4
2033,4
6089,4
91,4
14613,4
13170,4
1322,4
655,4
36,4
1567,4
10133,4
164,4
9899,4
4426,4
454,4
3001,4
10033,4
7107,4
4883,4
3163,4
2012,4
6364,4
2618,4
1434,4
4293,4
4978,4
4880,4
52,4
7126,4
4311,4
8492,4
2635,4
3139,4
2632,4
1720,4
1797,4
813,4
394,4
6324,4
5972,4
3842,4
261,4
247,4
7232,4
3260,4
3117,4
11904,4
10250,4
4739,4
4605,4
3719,4
9064,4
28,4
335,4
2792,4
8369,4
423,4
12819,4
1154,4
1996,4
7354,4
6656,4
5164,4
5077,4
1552,4
1091,4
3264,4
5769,4
964,3
11619,3
4552,3
10820,3
3623,3
2520,3
3034,3
8840,3
297,3
1217,3
13447,3
1958,3
427,3
4756,3
1869,3
7625,3
8797,3
4473,3
8538,3
5134,3
7540,3
884,3
479,3
1547,3
139,3
851,3
1711,3
16564,3
5551,3
9266,3
3552,3
370,3
3032,3
439,3
6123,3
7435,3
8782,3
3632,3
6258,3
10125,3
3907,3
325,3
1899,3
6052,3
534,3
6662,3
2365,3
4972,3
11139,3
9206,3
6973,3
17319,3
3923,3
9132,3
10103,3
10599,3
7152,3
7732,3
8668,3
3111,3
8641,3
3597,3
2615,3
6094,3
6561,3
13369,3
6579,3
4086,3
2206,3
2358,3
2390,3
8667,3
205,3
12244,3
7187,3
6583,3
3022,3
8231,3
1825,3
1817,3
2234,3
8227,3
7599,3
19346,3
4324,3
14756,3
9291,3
1626,3
4315,3
3540,3
12087,3
7941,3
5631,3
8077,3
2898,3
14388,3
5573,3
1737,3
4629,3
1788,3
4771,3
5784,3
3541,3
4730,3
1012,3
8363,3
2167,3
226,3
5393,3
9057,3
4510,3
796,3
4493,3
2552,3
587,3
1196,3
2875,3
12906,3
818,3
12191,3
2419,3
5819,3
10587,3
383,3
1484,3
10085,3
5490,3
480,3
2865,3
947,3
1009,3
3485,3
2062,3
6968,3
4140,3
2201,3
344,3
5842,3
3189,3
7971,3
6550,3
8177,3
5202,3
7450,3
1317,3
7972,3
4582,3
10120,3
4796,3
2467,3
7089,3
1404,3
7190,3
131,3
2829,3
2009,3
5462,3
5840,3
1424,3
14237,3
1229,3
14844,3
8138,3
6919,3
14942,3
7532,3
9820,3
804,3
17257,3
5159,3
2448,3
8723,3
921,3
628,3
10512,3
4280,3
5424,3
2601,3
9597,3
10588,3
829,3
6023,3
1992,3
9688,3
13336,3
9147,3
3213,3
5041,3
10494,3
801,3
13753,3
3052,3
18636,3
4119,3
1095,3
15294,3
10925,3
5704,3
7067,3
6301,3
7279,2
11625,2
768,2
5293,2
806,2
80,2
1601,2
3806,2
5418,2
2097,2
1453,2
5526,2
3490,2
204,2
1642,2
5148,2
7679,2
1119,2
1252,2
1561,2
314,2
1674,2
1175,2
2371,2
6885,2
6905,2
7303,2
19224,2
3703,2
10481,2
54,2
4848,2
19565,2
7821,2
7491,2
2648,2
4970,2
6969,2
3282,2
7514,2
5020,2
1044,2
4250,2
11916,2
9954,2
10284,2
12164,2
15993,2
4986,2
5264,2
3624,2
7309,2
2364,2
2672,2
6351,2
18192,2
11588,2
3182,2
86,2
3484,2
18234,2
13500,2
2735,2
4326,2
3621,2
717,2
414,2
1211,2
5871,2
7148,2
8104,2
8174,2
10924,2
14445,2
19853,2
5235,2
3261,2
1555,2
1830,2
10899,2
1152,2
5907,2
1448,2
5610,2
7,2
1793,2
3333,2
1427,2
8353,2
8495,2
16535,2
229,2
994,2
12623,2
5023,2
1916,2
1471,2
6478,2
15395,2
3751,2
591,2
8373,2
2700,2
3692,2
8485,2
11598,2
17981,2
760,2
9890,2
12211,2
4375,2
529,2
9739,2
13171,2
13355,2
14681,2
6535,2
7808,2
12346,2
9858,2
3815,2
998,2
3532,2
9925,2
11627,2
12009,2
12366,2
17910,2
18388,2
5221,2
15779,2
6265,2
16521,2
4178,2
12396,2
7001,2
12515,2
14276,2
2477,2
9061,2
10146,2
19635,2
10135,2
10239,2
20954,2
504,2
5413,2
2153,2
3824,2
13160,2
17387,2
4896,2
18421,2
9582,2
2098,2
2349,2
8690,2
11254,2
12149,2
1206,2
2701,2
15813,2
3258,2
6785,2
5013,2
9297,2
388,2
963,2
3841,2
4229,2
6526,2
6549,2
7729,2
8259,2
18287,2
3574,2
1369,2
8412,2
10082,2
11991,2
420,2
4231,2
10081,2
2145,2
2289,2
2995,2
15033,2
16706,2
11919,2
8233,2
11685,2
16917,2
2908,2
5735,2
17187,2
14074,2
8717,2
7082,2
1305,2
1361,2
2894,2
3408,2
3570,2
4069,2
5909,2
15358,2
7571,2
14793,2
5127,2
6839,2
12526,2
18843,2
12782,2
4957,2
1631,2
1513,2
2113,2
4860,2
5612,2
2042,2
1297,2
6593,2
16064,2
5640,2
1663,2
7809,2
6350,2
2606,2
3652,2
4495,2
5189,2
8111,2
11381,2
13092,2
14436,2
5234,2
11423,2
11624,2
11210,2
1504,2
2493,2
5922,2
14070,2
14247,2
8775,2
10944,2
12356,2
4317,2
7994,2
203,2
1850,2
2106,2
2527,2
8781,2
10149,2
13617,2
14923,2
17249,2
18457,2
699,2
2607,2
6456,2
116,2
2472,2
4039,2
11559,2
2582,2
7840,2
12401,2
8019,2
6381,2
14735,2
1757,2
2787,2
4934,2
4942,2
5901,2
5762,2
6291,2
4332,2
948,2
2026,2
3664,2
5792,2
13115,2
17227,2
13191,2
5554,2
774,2
5480,2
4539,2
1323,2
2384,2
5908,2
7268,2
14416,2
15363,2
1433,2
4289,2
21388,2
3846,2
4685,2
10502,2
10754,2
17997,2
10278,2
6742,2
14292,2
14741,2
268,2
2176,2
3436,2
4417,2
5449,2
8534,2
9944,2
10084,2
2522,2
4251,2
5590,2
17653,2
10412,2
7115,2
6247,2
6457,2
6501,2
7391,2
1429,2
5384,2
5689,2
9518,2
13375,2
16526,2
10939,2
7404,2
9640,2
8525,2
259,2
7841,2
9236,2
11509,2
15490,2
2281,2
72,2
756,2
7090,2
7676,2
16550,2
5353,2
255,2
883,2
3198,2
8056,2
9455,2
11010,2
9187,2
9031,2
221,2
1898,2
6416,2
12656,2
12816,2
18185,2
1544,2
3601,2
5620,2
920,2
5344,2
4092,2
7223,2
4665,2
8830,2
4384,2
6495,2
389,2
397,2
4801,2
4950,2
7952,2
14647,2
2634,2
9250,2
5543,2
8148,2
6155,2
11515,2
4304,2
4353,2
8825,2
17412,2
10693,2
7506,2
11960,2
16764,2
214,2
6532,2
3096,2
239,2
6996,2
9243,2
15086,2
11743,2
6672,2
4940,2
13348,2
1514,2
7387,2
8992,2
4068,2
5355,2
643,2
694,2
2714,2
3308,2
4524,2
16680,2
3338,2
3651,2
1281,2
887,2
459,2
1103,2
14896,2
18591,2
9415,2
13663,2
4919,2
1821,2
4189,2
9431,2
16057,2
5233,2
12246,2
79,2
6385,2
2338,2
9877,2
13560,2
6500,2
1249,2
824,2
1176,2
47,2
1888,2
6511,2
8334,2
15360,2
6534,2
3953,2
4104,2
7147,2
11327,2
11504,2
18785,2
10429,2
288,2
549,2
8167,2
13345,2
15791,2
16410,2
12962,2
18894,2
4691,2
6506,2
8586,2
2,2
11012,2
1425,2
1625,2
3619,2
6032,2
8402,2
10074,2
5754,2
8555,2
15870,2
1118,2
14848,2
7772,2
10225,2
16055,2
718,2
8279,2
17285,2
1130,2
12570,2
4396,2
17113,2
10732,2
3121,2
3197,2
8208,2
12728,2
5117,2
7522,2
15786,2
13604,2
890,2
11109,2
9419,2
185,2
3060,2
3127,2
5342,2
7472,2
8214,2
4170,2
9150,2
10668,2
3803,2
810,2
835,2
4290,2
7178,2
11942,2
6461,2
14275,2
1129,2
231,2
1696,2
2707,2
3456,2
12235,2
5178,2
2675,2
10057,2
14424,2
10340,2
7839,2
2369,2
3822,2
10827,2
18772,2
13443,2
18405,2
1581,2
14709,2
3784,2
4085,2
6978,2
16249,2
3363,2
815,2
15634,2
601,2
16752,2
7588,2
5886,2
14971,2
8018,2
1927,2
14765,2
1003,2
4023,2
1643,2
10130,2
4468,2
2385,2
21027,2
3178,2
4271,2
16201,2
2024,2
2814,2
6295,2
7296,2
8280,2
