id,inDegree
21729,643
19743,605
16895,551
14497,430
19347,385
10379,374
22171,308
20415,281
21120,271
19757,249
10426,248
15236,247
18966,243
18906,239
16869,221
20276,219
16977,215
21491,211
15531,211
22208,205
13294,201
14650,198
16052,195
18216,191
21708,187
17056,186
20892,180
16960,179
17402,178
17384,175
18819,167
18155,167
19573,163
11003,161
15174,159
17370,154
10241,154
18512,151
11332,151
22403,148
17984,146
21254,145
14181,144
9319,144
15951,141
22110,140
20343,139
12464,137
9294,136
11341,136
11657,136
20559,135
10468,135
11323,134
17983,132
16093,131
19870,131
19992,128
17386,127
9220,127
8139,126
20632,126
8883,125
7641,122
21496,121
16809,121
18744,119
20024,118
19000,118
15644,117
6045,111
22265,111
19135,111
17780,111
15785,109
16972,107
20435,107
20888,107
20930,106
19063,105
19128,105
18655,105
12408,105
22438,104
22329,104
20922,104
21803,104
18645,103
18886,103
14031,103
19448,101
11102,101
20433,101
19275,100
21325,100
15963,99
21740,99
19877,98
20653,98
20810,98
21569,98
14862,97
12461,97
5513,97
10783,96
19792,96
17726,95
21088,95
19562,95
20510,94
16968,94
15114,94
17148,94
16466,93
18056,93
20700,92
18777,92
21663,92
17866,91
20516,91
18078,91
15839,90
22316,90
18856,90
20660,90
14659,88
17695,88
21662,88
22052,87
22375,87
13098,86
19777,86
21713,86
20586,86
17340,86
5458,86
16618,86
20210,86
16791,85
21224,85
19776,85
19515,84
22100,84
15223,84
19432,84
16001,84
18105,83
18409,81
21033,81
21955,81
21489,81
17860,80
14981,80
11611,80
21917,80
21922,79
21907,79
20165,79
17848,79
20342,78
8482,78
15470,78
22166,77
17523,77
9816,77
19127,76
16688,76
11804,76
21375,76
17247,76
19231,76
7357,76
15713,76
7467,76
19795,76
21315,75
9176,75
16721,75
22248,75
9368,75
12831,75
20758,75
9125,75
18090,74
17833,74
12500,74
22349,74
17377,74
17598,74
17740,74
20067,73
16291,73
15742,73
16470,73
8869,73
21212,73
14790,73
21323,73
12936,71
21438,71
18396,71
20291,71
15649,71
16524,71
8745,70
18167,70
20488,70
17631,70
20566,70
13095,70
11389,70
12965,70
6441,69
20937,69
21013,69
10129,69
20592,69
21631,69
20046,69
11538,69
8519,69
18850,68
20481,68
17694,68
21211,68
22057,68
10510,67
15821,67
19649,67
17633,67
20983,67
14192,67
13297,67
21196,67
11507,67
21339,67
11498,66
21838,66
21144,66
17502,65
20976,65
18338,65
17591,65
12593,65
9603,65
19820,65
22230,65
18701,65
12677,65
19137,65
18887,64
19654,64
21921,64
9241,64
4502,64
16186,64
16122,64
18577,64
20625,64
13742,64
22398,64
20992,64
10439,64
21512,64
15647,64
9363,64
19388,63
22330,63
19086,63
17121,63
8302,63
5212,63
21277,63
16106,63
20931,63
16193,62
14383,62
14109,62
22162,62
16866,62
14272,62
18952,62
7735,62
20990,62
19621,62
12842,62
17495,61
20750,61
7362,61
15076,61
19658,61
19053,61
21324,61
17639,61
18974,61
16032,61
12762,60
10503,60
16368,60
20770,60
14264,60
10578,60
13478,59
17455,59
9525,59
15878,59
21681,59
10500,59
17956,59
16590,59
20037,59
13140,59
20152,59
21087,59
20083,58
20597,58
20153,58
20699,58
21810,58
11514,58
14802,58
18805,58
20889,58
18170,58
19384,58
19964,58
18062,58
293,57
22252,57
19891,57
11644,57
10995,57
21274,57
12783,57
17480,57
21054,57
2409,57
21338,57
21897,57
8335,56
1225,56
15159,56
16085,56
11158,56
11273,56
16337,56
18935,56
14988,56
14502,55
20499,55
18903,55
17818,55
22317,55
17437,55
16198,55
11376,55
19989,55
5580,55
11710,55
15468,55
20820,54
14791,54
20442,54
13525,54
11719,54
8505,54
20902,54
12088,54
14646,54
6806,53
18266,53
14628,53
20967,53
10544,53
20337,53
13434,53
15085,53
13441,53
17254,53
18054,53
14746,53
11289,53
3533,53
21811,52
17581,52
11585,52
11280,52
18482,52
22109,52
18573,52
19476,52
17460,52
21860,52
22041,52
19499,52
14804,51
9554,51
16602,51
12666,51
10554,51
17510,51
11850,51
12098,51
13426,51
9160,51
19844,51
18615,51
20027,51
18995,51
18553,50
15506,50
16741,50
17194,50
19767,50
16028,50
22132,50
19415,50
20441,50
19623,50
8893,50
10396,50
22124,50
11149,50
5632,50
14471,50
13418,50
21671,50
18638,50
7966,50
19292,50
20173,50
21928,50
8700,50
16258,50
8243,49
16175,49
18648,49
21975,49
21344,49
4648,49
17172,49
9817,49
14723,49
9359,49
18355,49
15183,49
12648,49
17941,49
18454,49
6318,49
8216,49
13537,49
13576,49
14777,49
20248,49
12269,49
21856,48
19602,48
19539,48
13776,48
18539,48
21497,48
13866,48
13582,48
12987,48
17214,48
17685,48
11005,48
8351,48
20387,48
15090,48
12039,48
9759,48
21764,47
11209,47
19111,47
20445,47
19889,47
18079,47
15263,47
22435,47
13300,47
16277,47
17258,47
16151,47
21214,47
19667,47
15612,47
18624,47
13966,47
19645,47
9164,47
18235,47
21863,47
19447,47
14710,47
2644,47
11277,47
11634,46
12730,46
18221,46
20465,46
19272,46
14260,46
22338,46
13645,46
21251,46
17089,46
19990,46
19691,46
14168,46
13494,46
17376,46
14778,46
21475,46
12872,46
14996,46
16290,46
5183,46
16431,46
20279,46
18561,46
11833,46
19001,46
10594,46
19177,46
19702,45
17197,45
17190,45
18427,45
18015,45
14161,45
8232,45
13003,45
18729,45
21280,45
15208,45
16978,45
11364,45
13053,45
13735,45
2025,45
6116,45
20281,45
18153,45
14213,45
18126,45
15283,45
22023,45
12361,45
11842,44
20314,44
20277,44
15714,44
12674,44
15475,44
13899,44
17252,44
20692,44
12288,44
9677,44
8540,44
17065,44
17671,44
6552,44
16128,44
22056,44
15098,44
17392,44
21351,44
9138,44
20414,44
18714,44
18196,43
20636,43
8400,43
14703,43
14561,43
18146,43
19200,43
16105,43
21894,43
17783,43
19205,43
16203,43
7602,43
22440,43
16608,43
2442,43
15073,43
11954,43
8257,43
17791,43
13543,43
18872,43
16816,43
16072,43
21206,43
15239,43
18797,42
10670,42
16490,42
7919,42
4159,42
21759,42
11756,42
19489,42
16520,42
12371,42
14205,42
15788,42
17299,42
22173,42
21570,42
19133,42
13079,42
21771,42
6608,42
22328,42
17062,42
14608,42
20178,42
19941,42
20620,42
19507,41
19837,41
13915,41
18118,41
22381,41
15481,41
21536,41
18277,41
8049,41
18693,41
14948,41
20780,41
14249,41
16408,41
15867,41
13212,41
17328,41
19386,41
17274,41
20308,41
21614,41
18977,41
16554,41
8993,41
11352,41
20879,41
13690,41
15553,41
22352,41
16880,41
14591,41
14493,41
20521,41
18991,41
12437,41
9528,41
20848,41
21787,40
11846,40
