id,outDegree
1387,472
2442,365
701,364
8139,261
5458,247
496,237
1654,237
8883,226
961,224
9319,220
14497,220
1123,216
4502,211
9294,202
3070,196
11003,180
2596,177
3735,177
5212,177
11332,177
290,171
904,170
5183,170
9220,163
8606,158
16895,158
6441,156
3630,154
3097,154
8049,152
7735,152
754,151
364,149
16427,148
7663,147
7357,146
21120,146
8482,144
7460,142
4499,142
17726,141
187,140
406,138
1271,138
7467,138
909,136
983,136
3073,136
197,133
212,132
13294,129
14650,128
15236,128
1372,127
1193,125
2773,124
11323,122
10426,122
11341,121
20135,120
3906,120
7362,120
12464,120
3499,119
6552,118
5518,117
2651,116
1827,116
9176,116
1078,115
2311,115
22265,115
710,112
2942,112
2444,112
1722,111
3300,111
2323,110
4296,110
21231,109
715,108
522,108
11775,106
4003,106
2280,105
1901,105
7364,105
10783,105
1037,104
15362,104
2981,104
5622,104
9363,104
4225,103
9968,102
2597,102
6806,102
1964,101
1668,99
2422,99
2078,99
2664,98
11244,97
5307,97
8351,97
1783,96
3838,96
8869,96
9125,96
4000,95
5345,95
5432,95
12308,95
61,94
1377,94
1921,94
2245,94
8216,94
10379,94
481,93
4907,93
19792,93
5049,92
945,91
356,91
1047,91
770,91
11424,91
3160,91
7966,91
4518,90
1618,90
6160,90
11719,90
7961,90
14181,90
1617,89
3973,89
5064,89
12408,89
4948,88
8700,88
2455,87
2159,87
9554,87
15531,87
3062,86
8232,86
6926,86
9525,86
8893,86
3242,85
6045,85
1278,83
1779,83
3584,83
3606,83
6189,83
9603,83
1586,82
1494,82
4786,82
7015,82
6818,82
10578,82
307,81
1517,81
1391,81
4987,81
6677,81
2085,80
1912,80
15763,80
17392,80
14031,80
365,79
2874,79
2610,79
2746,79
3451,79
407,78
897,78
22328,78
11389,78
7645,77
927,77
478,77
679,77
1531,77
2018,76
7822,76
11611,76
2284,75
3252,75
2051,75
4399,75
5187,75
8505,75
8993,75
9164,75
12461,75
1282,74
1007,74
3878,74
8348,74
8790,74
614,73
2058,73
7108,73
7765,73
8153,73
19743,73
2059,72
1745,72
1814,72
4738,72
127,71
6357,71
7602,71
9241,71
11507,71
13098,71
12500,71
16052,71
917,70
2474,70
4211,70
5587,70
7983,70
7165,70
15174,70
977,69
4818,69
18957,69
8271,69
22374,68
1205,68
2732,68
3491,68
5149,68
4751,68
7789,68
12353,68
11804,68
729,67
2282,67
2719,67
1443,67
3935,67
3649,67
12280,67
7325,67
11273,67
9160,67
11644,67
16869,67
1041,66
1025,66
1126,66
1694,66
21987,66
369,65
840,65
3094,65
3103,65
3705,65
8572,65
4772,65
6720,65
10503,65
10439,65
1244,64
2461,64
3676,64
3223,64
6940,64
9759,64
11585,64
1691,63
19347,63
11657,63
1094,62
2242,62
11514,62
730,61
1330,61
15177,61
3757,61
3074,61
5496,61
5495,61
5636,61
7558,61
11149,61
16399,61
11363,60
18766,60
173,60
6780,60
8120,60
11280,60
15951,60
16977,60
44,59
1303,59
568,59
709,59
839,59
1761,59
1620,59
3469,59
4991,59
5777,59
8669,59
9677,59
9359,59
10007,59
22100,59
5513,59
106,58
1339,58
2759,58
2434,58
15615,58
6562,58
5029,58
16960,58
10241,58
325,57
560,57
2710,57
1969,57
2112,57
2532,57
2252,57
3965,57
4453,57
8327,57
4909,57
5451,57
7919,57
6802,57
7166,57
7745,57
11277,57
11102,57
11538,57
11710,57
18906,57
304,56
176,56
12749,56
1823,56
3896,56
19594,56
5755,56
