id,count
16895,16219
14497,14050
1387,10199
19743,9754
21729,9254
2442,8866
8139,8312
4502,7762
10379,7265
15236,6911
5458,6561
9220,6436
10426,6236
15531,6129
9319,6058
8883,5469
19347,5412
16977,5409
15174,5361
961,5341
1654,5296
9294,5170
20276,4966
11323,4919
17726,4840
21120,4787
13294,4653
18966,4635
18906,4500
6045,4465
6441,4446
22171,4440
15951,4401
12464,4376
17402,4272
12408,4183
19757,4166
7467,4012
10241,3940
19792,3935
17384,3881
16960,3858
20892,3849
8869,3797
1123,3764
11341,3748
9125,3700
17386,3651
12461,3644
22265,3636
9176,3627
5183,3477
3070,3389
21491,3389
7357,3368
17370,3366
6806,3295
16052,3249
17984,3235
11657,3206
754,3147
8049,3114
3630,3098
6552,3060
5212,3037
10783,3022
983,3014
9525,2980
17056,2976
2596,2970
10468,2964
16093,2963
21254,2941
3097,2940
2773,2934
11332,2934
9363,2934
5513,2916
1271,2903
16427,2894
5518,2884
19573,2798
21708,2736
11389,2727
18216,2723
16869,2698
2942,2690
5432,2690
5622,2683
7364,2677
15114,2659
9241,2629
21231,2602
3073,2586
14181,2583
22208,2565
20343,2558
11804,2551
7641,2521
19870,2517
22100,2512
8893,2452
2311,2418
8232,2392
18819,2387
7735,2387
15785,2381
187,2334
11538,2319
1078,2319
15963,2296
15223,2294
18512,2281
14650,2274
11775,2254
8351,2247
710,2237
20632,2232
290,2213
13140,2198
7919,2197
10578,2193
18167,2186
19992,2185
1517,2177
22110,2160
904,2143
8795,2139
1618,2139
11102,2138
19063,2137
3499,2137
4751,2135
20516,2116
15644,2112
18105,2101
17591,2090
11644,2081
522,2074
8482,2067
11850,2054
6160,2043
9554,2041
18645,2026
3103,2000
22403,1998
9160,1995
11498,1994
10439,1984
10007,1978
22328,1947
11719,1943
19127,1938
16972,1936
11280,1933
6926,1927
17598,1919
13297,1911
406,1910
13095,1908
21496,1898
20922,1892
20435,1891
2981,1891
9759,1890
7015,1886
16791,1870
3584,1868
11585,1867
15763,1867
12500,1845
4499,1835
9164,1828
20415,1824
18856,1821
1827,1821
14031,1820
4399,1815
3838,1814
19621,1808
3074,1798
11248,1790
20037,1785
19964,1778
2532,1777
9567,1761
6706,1761
7606,1761
8062,1761
20889,1761
3981,1761
4527,1761
21324,1761
21087,1761
17340,1746
12831,1746
5317,1745
9996,1739
5589,1738
12965,1737
16001,1736
20168,1734
11473,1729
18539,1729
568,1729
18235,1729
4077,1729
5525,1729
12745,1729
8874,1728
1126,1720
6398,1717
17247,1716
20700,1714
14703,1713
839,1713
15647,1710
12025,1709
4401,1709
715,1709
18638,1705
3300,1703
20135,1701
7978,1700
16105,1700
5010,1700
44,1700
21274,1700
21681,1700
13074,1700
7108,1697
8519,1696
2245,1680
10995,1675
12353,1674
496,1673
18655,1672
12593,1665
7325,1659
1193,1658
18777,1656
20433,1653
14659,1648
7288,1647
18624,1647
7822,1636
12936,1635
9813,1633
19275,1629
12088,1615
20342,1614
3242,1612
7789,1601
4917,1598
16291,1598
5064,1595
4031,1588
11273,1577
14862,1576
20586,1564
2444,1560
6677,1552
15362,1551
1037,1546
5345,1542
1377,1541
10500,1540
770,1538
2160,1537
5165,1537
12851,1528
19562,1524
4000,1520
11289,1518
7602,1511
12842,1509
4907,1506
18577,1505
11507,1497
6802,1493
12783,1488
13408,1488
1278,1487
2474,1483
21713,1483
6720,1483
5307,1472
7961,1469
21569,1466
1668,1464
16466,1462
8790,1457
8606,1453
3062,1452
4738,1439
3735,1427
19515,1426
2746,1421
7460,1416
1921,1415
18090,1410
11244,1408
7362,1407
22438,1403
11611,1403
21803,1401
4211,1398
16399,1395
17455,1392
9496,1389
1007,1380
17780,1377
17740,1376
14646,1376
18155,1366
16122,1365
19231,1361
20930,1360
5632,1355
18974,1354
2874,1353
2610,1342
3160,1341
16524,1341
16193,1339
21211,1338
14264,1338
12987,1327
2159,1326
1372,1324
21917,1324
11430,1322
8216,1321
1912,1320
3906,1316
12039,1315
16470,1309
17631,1309
17860,1303
20566,1298
22052,1294
16968,1286
8316,1282
20291,1281
14988,1279
16866,1262
8700,1259
13866,1253
19000,1252
9816,1248
18887,1245
7765,1242
19776,1242
15821,1239
10978,1238
12116,1230
7983,1228
14272,1228
3094,1226
6914,1226
7645,1219
7966,1218
8572,1215
8120,1210
679,1198
20210,1196
2651,1195
8773,1192
4987,1192
17121,1188
12011,1184
17377,1181
11364,1179
11756,1177
9368,1175
478,1173
20653,1171
2422,1170
9504,1168
21907,1163
1586,1163
8271,1160
9603,1160
4948,1159
8972,1158
14628,1157
917,1151
4518,1147
5587,1146
12098,1146
12762,1145
9493,1143
16978,1137
20488,1134
18957,1133
2058,1131
15076,1130
19820,1129
1745,1127
2280,1123
1391,1119
11352,1118
2242,1117
4061,1112
2282,1108
22166,1108
10510,1103
22375,1102
4818,1100
16198,1097
11193,1095
6232,1095
17956,1094
12280,1092
18561,1089
3676,1086
3757,1083
7663,1081
18266,1078
19654,1077
9893,1077
15098,1074
20559,1071
15615,1067
3878,1065
4967,1064
21631,1064
1814,1064
8740,1061
13776,1058
7134,1056
6189,1055
13537,1055
17694,1054
7050,1054
20888,1052
19415,1050
5562,1049
197,1048
8400,1045
2455,1045
14561,1044
19658,1033
15085,1033
19795,1032
6780,1031
17495,1030
4991,1030
8985,1029
12371,1028
19448,1027
11424,1027
4003,1027
13576,1025
8932,1023
11277,1023
2085,1022
11634,1021
1617,1018
19594,1015
5785,1013
16590,1012
3805,1012
